neighborhood|city|type|year|pricePerSqm|price|size|address
Malski|Lahti|K|2011|3258|145000|44.5|Mallaskatu 4 A
Kerinkallio|Lahti|K|2016|469|29761|63.5|Lehtokatu 1
Kärpänen|Lahti|K|2018|452|27807|61.5|Lepinkäisenkatu 6
Paavola|Lahti|K|1960|1638|95000|58|Mustankalliontie 27
Asemantausta|Lahti|K|1988|1466|85000|58|Lautamiehenkatu 8
Möysä|Lahti|K|1963|1254|79000|63|Karjalankatu 29 A
Asemantausta|Lahti|K|2017|494|23194|47|Uudenpellonkatu 2
Kyrölä|Lahti|K|1968|660|35000|53|Kyrölänkatu 10 A
Paavola|Lahti|R|2005|3343|468000|140|Rautellinkatu 32
Hiekkanummi / Ahtiala|Lahti|O|1984|1715|259000|151|Laaninkatu 4
Liipola|Lahti|K|0|1157|59000|51|Eteläinen Liipolankatu 12 B
Metsäkangas|Lahti|K|1979|1072|59500|55.5|Hakkapeliitankatu 16
Paavola|Lahti|O|1993|2846|185000|65|Kymintie 36
Saksala|Lahti|K|1974|1373|81000|59|Vaahterakatu 1-3
Jalkaranta|Lahti|K|2008|449|18426|41|Tarjantie 73
Hennala|Lahti|K|1959|1259|85000|67.5|Sorvarinkatu 2
Nastola|Lahti|O|1954|1000|119000|119|Petäjätie 4
Ahtiala|Lahti|O|1991|1737|238000|137|Kalskekatu 4
Paavola|Lahti|K|1993|222|17725|80|Metsolankatu 1 A 08
Anttilanmäki|Lahti|O|2014|2805|620000|221|Pyöräkatu 4
Hiekkanummi|Lahti|O|1960|1023|95000|92.9|Riihikalliontie 20
Keskusta|Lahti|K|1956|2258|109500|48.5|Kolkankatu 24
Patomäki|Lahti|O|1968|1171|199000|170|Talvikintie 15
Metsäpelto|Lahti|K|1963|907|34000|37.5|Annikintie 2
Keski-Lahti|Lahti|K|1911|2674|115000|43|Rautatienkatu 3 B
Ruoriniemi|Lahti|R|2005|4415|415000|94|Kapteeninkatu 2
Kiveriö|Lahti|O|1963|1024|85000|83|Kyllikintie 16
Okeroinen|Lahti|O|1995|2037|275000|135|Ketokatu 9
Kunnas|Lahti|O|0|1228|269000|219|Kajokatu 3
Hennala|Lahti|K|2010|435|33033|76|Sorvarinkatu 20
Kiikkula, Jalkaranta|Lahti|O|1974|842|149500|177.5|Naavakatu 18
Renkomäki|Lahti|O|2011|2260|339000|150|Tapsikatu 2
Möysä|Lahti|K|1960|1929|108000|56|Ahtialantie 5
Ankkuri|Lahti|K|1997|333|24625|74|Taapelikatu 7 A 03
Keskusta|Lahti|K|1961|1925|179000|93|Aleksanterinkatu 1 B
Villähde|Lahti|O|2007|2106|259000|123|Tuomipihlajantie 5
Keijupuisto|Lahti|K|2006|2443|182000|74.5|Keijutie 9
